Using device: cpu
Starting mDQN training for 10000 episodes...
Ep 100/10000 | Avg Rew: 0.72 | Avg Steps: 15.7 | Epsilon: 0.971 | White Win %: 47.0% | Draw %: 0.0%
Ep 200/10000 | Avg Rew: 0.65 | Avg Steps: 12.8 | Epsilon: 0.947 | White Win %: 50.0% | Draw %: 0.0%
Ep 300/10000 | Avg Rew: 0.69 | Avg Steps: 15.2 | Epsilon: 0.921 | White Win %: 43.0% | Draw %: 0.0%
Ep 400/10000 | Avg Rew: 0.74 | Avg Steps: 15.6 | Epsilon: 0.894 | White Win %: 38.0% | Draw %: 0.0%
Ep 500/10000 | Avg Rew: 0.61 | Avg Steps: 15.4 | Epsilon: 0.868 | White Win %: 46.0% | Draw %: 0.0%
Ep 600/10000 | Avg Rew: 0.64 | Avg Steps: 16.4 | Epsilon: 0.842 | White Win %: 51.0% | Draw %: 0.0%
Ep 700/10000 | Avg Rew: 0.67 | Avg Steps: 17.3 | Epsilon: 0.815 | White Win %: 42.0% | Draw %: 0.0%
Ep 800/10000 | Avg Rew: 0.69 | Avg Steps: 18.4 | Epsilon: 0.787 | White Win %: 48.5% | Draw %: 0.0%
Ep 900/10000 | Avg Rew: 0.63 | Avg Steps: 14.8 | Epsilon: 0.766 | White Win %: 46.0% | Draw %: 0.0%
Ep 1000/10000 | Avg Rew: 0.67 | Avg Steps: 15.3 | Epsilon: 0.744 | White Win %: 44.0% | Draw %: 0.0%
All mDQN sub-agent models saved at episode 1000
Ep 1100/10000 | Avg Rew: 0.65 | Avg Steps: 14.8 | Epsilon: 0.724 | White Win %: 39.0% | Draw %: 0.0%
Ep 1200/10000 | Avg Rew: 0.72 | Avg Steps: 17.5 | Epsilon: 0.700 | White Win %: 37.0% | Draw %: 0.0%
Ep 1300/10000 | Avg Rew: 0.75 | Avg Steps: 14.6 | Epsilon: 0.682 | White Win %: 38.0% | Draw %: 0.0%
Ep 1400/10000 | Avg Rew: 0.70 | Avg Steps: 15.5 | Epsilon: 0.662 | White Win %: 47.0% | Draw %: 0.0%
Ep 1500/10000 | Avg Rew: 0.64 | Avg Steps: 16.1 | Epsilon: 0.643 | White Win %: 44.0% | Draw %: 0.0%
Ep 1600/10000 | Avg Rew: 0.68 | Avg Steps: 15.7 | Epsilon: 0.625 | White Win %: 31.0% | Draw %: 0.0%
Ep 1700/10000 | Avg Rew: 0.73 | Avg Steps: 15.4 | Epsilon: 0.607 | White Win %: 42.0% | Draw %: 0.0%
Ep 1800/10000 | Avg Rew: 0.58 | Avg Steps: 15.8 | Epsilon: 0.590 | White Win %: 43.0% | Draw %: 0.0%
Ep 1900/10000 | Avg Rew: 0.70 | Avg Steps: 17.5 | Epsilon: 0.571 | White Win %: 33.0% | Draw %: 0.0%
Ep 2000/10000 | Avg Rew: 0.74 | Avg Steps: 16.5 | Epsilon: 0.554 | White Win %: 41.0% | Draw %: 0.0%
All mDQN sub-agent models saved at episode 2000
Ep 2100/10000 | Avg Rew: 0.60 | Avg Steps: 15.7 | Epsilon: 0.539 | White Win %: 36.0% | Draw %: 0.0%
Ep 2200/10000 | Avg Rew: 0.76 | Avg Steps: 15.9 | Epsilon: 0.524 | White Win %: 29.0% | Draw %: 0.0%
Ep 2300/10000 | Avg Rew: 0.72 | Avg Steps: 17.8 | Epsilon: 0.507 | White Win %: 30.0% | Draw %: 0.0%
Ep 2400/10000 | Avg Rew: 0.77 | Avg Steps: 16.8 | Epsilon: 0.492 | White Win %: 16.0% | Draw %: 0.0%
Ep 2500/10000 | Avg Rew: 0.64 | Avg Steps: 15.9 | Epsilon: 0.478 | White Win %: 42.0% | Draw %: 0.0%
Ep 2600/10000 | Avg Rew: 0.73 | Avg Steps: 15.0 | Epsilon: 0.465 | White Win %: 33.0% | Draw %: 0.0%
Ep 2700/10000 | Avg Rew: 0.68 | Avg Steps: 16.3 | Epsilon: 0.452 | White Win %: 35.0% | Draw %: 0.0%
Ep 2800/10000 | Avg Rew: 0.77 | Avg Steps: 16.6 | Epsilon: 0.439 | White Win %: 30.0% | Draw %: 0.0%
Ep 2900/10000 | Avg Rew: 0.73 | Avg Steps: 15.0 | Epsilon: 0.428 | White Win %: 36.0% | Draw %: 0.0%
Ep 3000/10000 | Avg Rew: 0.78 | Avg Steps: 17.8 | Epsilon: 0.414 | White Win %: 33.0% | Draw %: 0.0%
All mDQN sub-agent models saved at episode 3000
Ep 3100/10000 | Avg Rew: 0.78 | Avg Steps: 16.0 | Epsilon: 0.403 | White Win %: 31.0% | Draw %: 0.0%
Ep 3200/10000 | Avg Rew: 0.78 | Avg Steps: 17.4 | Epsilon: 0.391 | White Win %: 24.2% | Draw %: 0.0%
Ep 3300/10000 | Avg Rew: 0.69 | Avg Steps: 18.9 | Epsilon: 0.378 | White Win %: 28.0% | Draw %: 0.0%
